Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,? Original Estimate,? Remaining Estimate,? Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Test the comment functionality. (US4.2.4),SCRUM-37,10041,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:49,05-01-2025 00:10,05-01-2025 00:53,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,S4: Collaboration Features,,2,,,,,,,,10000_*:*_1_*:*_1247335_*|*_10002_*:*_1_*:*_0,10032,Enable users to comment on resources and principles. (US04.2),Done,05-01-2025 00:10
Implement frontend integration with APIs. (US4.2.3),SCRUM-36,10040,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:48,05-01-2025 00:27,06-01-2025 00:37,05-01-2025 00:27,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,S4: Collaboration Features,,3,,,,,,,,10000_*:*_1_*:*_1266765_*|*_10001_*:*_1_*:*_0,10032,Enable users to comment on resources and principles. (US04.2),Done,05-01-2025 00:27
Develop backend APIs for storing comments. (US4.2.2),SCRUM-35,10039,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:48,05-01-2025 00:10,06-01-2025 00:37,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008n:,,,S4: Collaboration Features,,3,,,,,,,,10000_*:*_1_*:*_1290635_*|*_10002_*:*_1_*:*_0,10032,Enable users to comment on resources and principles. (US04.2),Done,05-01-2025 00:10
Design the comment input field and UI. (US4.2.1),SCRUM-34,10038,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:48,05-01-2025 00:10,06-01-2025 00:37,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008f:,,,S4: Collaboration Features,,4,,,,,,,,10000_*:*_1_*:*_1301905_*|*_10002_*:*_1_*:*_0,10032,Enable users to comment on resources and principles. (US04.2),Done,05-01-2025 00:10
Conduct user testing and gather feedback. (US1.1.4),SCRUM-33,10037,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SHAM,5d1b3d38ca72d00d24b9ee7c,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:47,05-01-2025 00:07,06-01-2025 00:37,05-01-2025 00:07,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00087:,,,S1: Homepage Agile Manifesto,,5,,,,,,,,10000_*:*_1_*:*_1220597_*|*_10002_*:*_1_*:*_0,10022,Design and implement a visually appealing homepage. (US1.1),Done,05-01-2025 00:07
Integrate animations using JavaScript. (US1.1.3),SCRUM-32,10036,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SHAM,5d1b3d38ca72d00d24b9ee7c,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:47,05-01-2025 00:07,06-01-2025 00:37,05-01-2025 00:07,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,S1: Homepage Agile Manifesto,,3,,,,,,,,10000_*:*_1_*:*_1232401_*|*_10002_*:*_1_*:*_0,10022,Design and implement a visually appealing homepage. (US1.1),Done,05-01-2025 00:07
Develop HTML and CSS for the layout. (US1.1.2),SCRUM-31,10035,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:47,05-01-2025 00:07,06-01-2025 00:37,05-01-2025 00:07,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,S1: Homepage Agile Manifesto,,3,,,,,,,,10000_*:*_1_*:*_1236577_*|*_10002_*:*_1_*:*_0,10022,Design and implement a visually appealing homepage. (US1.1),Done,05-01-2025 00:07
Create wireframes for the homepage. (US1.1.1),SCRUM-30,10034,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:46,05-01-2025 00:07,05-01-2025 00:06,05-01-2025 00:07,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007j:,,,S1: Homepage Agile Manifesto,,4,,,,,,,,10000_*:*_1_*:*_1241380_*|*_10001_*:*_1_*:*_0,10022,Design and implement a visually appealing homepage. (US1.1),Done,05-01-2025 00:07
Implement user authentication for collaboration features. (US04.3),SCRUM-29,10033,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:44,05-01-2025 00:10,05-01-2025 00:50,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,S4: Collaboration Features,,5,,,,,,,,10000_*:*_1_*:*_1589219_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:10
Enable users to comment on resources and principles. (US04.2),SCRUM-28,10032,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SHAM,5d1b3d38ca72d00d24b9ee7c,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:43,05-01-2025 00:28,05-01-2025 00:27,05-01-2025 00:28,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,S4: Collaboration Features,,8,,,,,,,,10000_*:*_1_*:*_1590497_*|*_10001_*:*_1_*:*_0,,,Done,05-01-2025 00:28
Develop a discussion forum for users. (US04.1),SCRUM-27,10031,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:43,05-01-2025 00:10,06-01-2025 00:37,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,S4: Collaboration Features,,5,,,,,,,,10000_*:*_1_*:*_1605605_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:10
Add search and filter functionality. (US03.3),SCRUM-26,10030,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:42,05-01-2025 00:27,05-01-2025 00:49,05-01-2025 00:27,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,S3: Develop Resource Library,,6,,,,,,,,10000_*:*_1_*:*_1672935_*|*_10001_*:*_1_*:*_0,,,Done,05-01-2025 00:27
Include downloadable resources like templates and guides. (US03.2),SCRUM-25,10029,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:42,05-01-2025 00:10,06-01-2025 00:37,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,S3: Develop Resource Library,,7,,,,,,,,10000_*:*_1_*:*_1684948_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:10
"Design a library for Agile practices (Scrum, Kanban, etc.). (US03.1)",SCRUM-24,10028,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:42,05-01-2025 00:10,06-01-2025 00:37,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,S3: Develop Resource Library,,4,,,,,,,,10000_*:*_1_*:*_1688969_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:10
Add examples to illustrate each value and principle. (US02.3),SCRUM-23,10027,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:41,05-01-2025 00:22,05-01-2025 00:49,05-01-2025 00:22,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,S2: Agile Values and Principle,,5,,,,,,,,10000_*:*_1_*:*_1744162_*|*_10002_*:*_1_*:*_692456_*|*_10001_*:*_1_*:*_0,,,Done,05-01-2025 00:22
Implement an interactive feature to explain the 12 principles. (US02.2),SCRUM-22,10026,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:41,05-01-2025 00:11,06-01-2025 00:37,05-01-2025 00:11,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,S2: Agile Values and Principle,,6,,,,,,,,10000_*:*_1_*:*_1757369_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:11
Create a page to display the four core Agile values. (US02.1),SCRUM-21,10025,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:41,05-01-2025 00:10,04-01-2025 23:50,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,S2: Agile Values and Principle,,4,,,,,,,,10000_*:*_1_*:*_1770782_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:10
Include navigation to other sections of the platform. (US1.3),SCRUM-20,10024,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:41,05-01-2025 00:11,06-01-2025 00:18,05-01-2025 00:11,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,S1: Homepage Agile Manifesto,,4,,,,,,,,10000_*:*_1_*:*_1855183_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:11
Add an introduction to Agile and its history. (US1.12),SCRUM-19,10023,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:40,05-01-2025 00:27,05-01-2025 00:21,05-01-2025 00:27,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,S1: Homepage Agile Manifesto,,5,,,,,,,,10000_*:*_1_*:*_1891901_*|*_10002_*:*_1_*:*_610489_*|*_10001_*:*_1_*:*_0,,,Done,05-01-2025 00:27
Design and implement a visually appealing homepage. (US1.1),SCRUM-18,10022,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SHAM,5d1b3d38ca72d00d24b9ee7c,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:39,05-01-2025 00:08,05-01-2025 00:07,05-01-2025 00:08,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,S1: Homepage Agile Manifesto,,8,,,,,,,,10000_*:*_1_*:*_1740336_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:08
Collaboration Features. (US004),SCRUM-5,10009,Story,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 22:33,05-01-2025 00:28,05-01-2025 00:12,05-01-2025 00:28,,0,This is a Collaboration Feature.,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001z:,,,S4: Collaboration Features,,6,,,,,,,,10000_*:*_1_*:*_5811214_*|*_10002_*:*_2_*:*_59484_*|*_10001_*:*_2_*:*_4479,10005,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,Done,05-01-2025 00:28
Resource Library. (US003),SCRUM-4,10008,Story,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 22:32,05-01-2025 00:27,04-01-2025 23:55,05-01-2025 00:27,,0,This is a Resource Library.,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001r:,,,S3: Develop Resource Library,,5,,,,,,,,10000_*:*_1_*:*_5863829_*|*_10002_*:*_1_*:*_36751_*|*_10001_*:*_1_*:*_0,10005,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,Done,05-01-2025 00:27
 Agile Values and Principles. (US002) ,SCRUM-3,10007,Story,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 22:32,05-01-2025 00:22,06-01-2025 00:26,05-01-2025 00:22,,0,This is a Aglie Values and Principles.,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001j:,,,S2: Agile Values and Principle,,5,,,,,,,,10000_*:*_1_*:*_5931370_*|*_10002_*:*_1_*:*_252465_*|*_10001_*:*_1_*:*_0,10005,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,Done,05-01-2025 00:22
Homepage for Agile Manifesto. (US001),SCRUM-2,10006,Story,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 22:31,05-01-2025 00:27,05-01-2025 00:22,05-01-2025 00:27,,0,This is a Home page for Aglie Manifesto.,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001b:,,,S1: Homepage Agile Manifesto,,6,,,,,,,,10000_*:*_2_*:*_6053635_*|*_10002_*:*_3_*:*_183785_*|*_10001_*:*_4_*:*_400521,10005,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,Done,05-01-2025 00:27
Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,SCRUM-1,10005,Epic,To Do,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 22:28,04-01-2025 22:28,05-01-2025 00:16,,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00013:,,,,,,,,,,,,,,,,To Do,04-01-2025 22:28
